model_name,entity_group_filter,event_type_filter,entity_label,event_label,estimate_display,std_error_display,p.value,used_rows,r2,within_r2
all_entities_all_events,all,all,All entities,All events,-0.074***,(0.023),0.002,10038,0.346,0.001
all_entities_political_events,all,political,All entities,Political events,-0.107***,(0.036),0.004,5323,0.327,0.001
all_entities_terror_events,all,terror,All entities,Terror events,-0.040,(0.030),0.184,4714,0.406,0.000
political_parties_all_events,political_party,all,Political parties,All events,-0.145*,(0.076),0.075,1411,0.435,0.003
political_parties_political_events,political_party,political,Political parties,Political events,-0.264**,(0.123),0.049,755,0.447,0.008
political_parties_terror_events,political_party,terror,Political parties,Terror events,-0.020,(0.065),0.764,656,0.481,0.000
other_orgs_people_all_events,other_org_or_person,all,Organizations/people,All events,-0.049**,(0.023),0.034,8627,0.362,0.000
other_orgs_people_political_events,other_org_or_person,political,Organizations/people,Political events,-0.060*,(0.035),0.096,4568,0.340,0.000
other_orgs_people_terror_events,other_org_or_person,terror,Organizations/people,Terror events,-0.040,(0.033),0.222,4058,0.414,0.000
