model_name,entity_group_filter,event_type_filter,entity_label,event_label,estimate_display,std_error_display,p.value,input_rows,used_rows,unique_weekly_rows,stacked_extra_rows,r2,within_r2
all_entities_all_events,all,all,All entities,All events,-0.087***,(0.022),<0.001,10040,10038,5543,4497,0.347,0.001
all_entities_political_events,all,political,All entities,Political events,-0.176***,(0.036),<0.001,5325,5323,4090,1235,0.329,0.005
all_entities_terror_events,all,terror,All entities,Terror events,0.016,(0.031),0.599,4715,4714,3391,1324,0.406,0.000
political_parties_all_events,political_party,all,Political parties,All events,-0.140*,(0.077),0.087,1412,1411,817,595,0.436,0.003
political_parties_political_events,political_party,political,Political parties,Political events,-0.337*,(0.165),0.059,755,755,599,156,0.453,0.018
political_parties_terror_events,political_party,terror,Political parties,Terror events,0.050,(0.064),0.449,657,656,470,187,0.481,0.001
other_orgs_people_all_events,other_org_or_person,all,Organizations/people,All events,-0.059***,(0.022),0.010,8628,8627,4726,3902,0.362,0.001
other_orgs_people_political_events,other_org_or_person,political,Organizations/people,Political events,-0.125***,(0.033),<0.001,4570,4568,3491,1079,0.342,0.003
other_orgs_people_terror_events,other_org_or_person,terror,Organizations/people,Terror events,0.016,(0.033),0.621,4058,4058,2921,1137,0.414,0.000
