model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
all_entities_all_events,ok,9740,9738,0.304,0.000,0.295
political_parties_all_events,ok,1822,1821,0.499,0.001,0.475
other_orgs_people_all_events,ok,7918,7917,0.330,0.000,0.321
all_entities_political_events,ok,5206,5205,0.337,0.000,0.325
all_entities_terror_events,ok,4534,4531,0.298,0.000,0.284
political_parties_political_events,ok,900,900,0.514,0.000,0.485
political_parties_terror_events,ok,922,921,0.513,0.003,0.486
other_orgs_people_political_events,ok,4306,4305,0.342,0.000,0.329
other_orgs_people_terror_events,ok,3612,3610,0.336,0.000,0.322
