model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
all_entities_all_events,ok,9941,9939,0.284,0.000,0.274
political_parties_all_events,ok,1914,1914,0.485,0.004,0.461
other_orgs_people_all_events,ok,8027,8025,0.314,0.000,0.304
all_entities_political_events,ok,5580,5579,0.291,0.001,0.278
all_entities_terror_events,ok,4361,4357,0.332,0.000,0.318
political_parties_political_events,ok,1114,1114,0.500,0.004,0.473
political_parties_terror_events,ok,800,799,0.544,0.010,0.517
other_orgs_people_political_events,ok,4466,4465,0.323,0.001,0.310
other_orgs_people_terror_events,ok,3561,3558,0.325,0.000,0.310
