model_name,model_status,used_rows,r2,within_r2,adjusted_r2,input_rows,unique_weekly_rows,stacked_extra_rows,input_entities,input_events,first_week,last_week
all_entities_all_events,ok,3887,0.398,0.001,0.384,3888,2925,963,65,25,2020-12-13,2025-09-28
political_parties_all_events,ok,567,0.433,0.003,0.387,567,412,155,15,25,2020-12-13,2025-09-21
other_orgs_people_all_events,ok,3320,0.413,0.002,0.399,3321,2513,808,50,25,2020-12-13,2025-09-28
all_entities_political_events,ok,1373,0.369,0.002,0.336,1375,1261,114,59,9,2020-12-13,2024-11-24
all_entities_terror_events,ok,2512,0.463,0.002,0.445,2513,2073,440,62,16,2022-03-13,2025-09-28
political_parties_political_events,ok,215,0.416,0.017,0.338,215,204,11,13,9,2020-12-13,2024-11-24
political_parties_terror_events,ok,352,0.506,0.001,0.455,352,271,81,14,16,2022-03-13,2025-09-21
other_orgs_people_political_events,ok,1158,0.387,0.003,0.356,1160,1057,103,46,9,2020-12-13,2024-11-24
other_orgs_people_terror_events,ok,2160,0.466,0.003,0.450,2161,1802,359,48,16,2022-03-13,2025-09-28
