model_name,model_status,used_rows,r2,within_r2,adjusted_r2,input_rows,unique_weekly_rows,stacked_extra_rows,input_entities,input_events,first_week,last_week
all_entities_all_events,ok,9939,0.284,0.000,0.274,9941,4332,5609,66,66,2020-01-12,2025-12-21
political_parties_all_events,ok,1914,0.485,0.004,0.461,1914,802,1112,17,66,2020-01-12,2025-12-21
other_orgs_people_all_events,ok,8025,0.314,0.000,0.304,8027,3530,4497,49,66,2020-01-12,2025-12-21
all_entities_political_events,ok,5579,0.291,0.001,0.278,5580,3684,1896,65,36,2020-04-05,2025-12-07
all_entities_terror_events,ok,4357,0.332,0.000,0.318,4361,2823,1538,62,30,2020-01-12,2025-12-21
political_parties_political_events,ok,1114,0.500,0.004,0.473,1114,676,438,17,36,2020-04-05,2025-12-07
political_parties_terror_events,ok,799,0.544,0.010,0.517,800,518,282,14,30,2020-01-12,2025-12-21
other_orgs_people_political_events,ok,4465,0.323,0.001,0.310,4466,3008,1458,48,36,2020-04-05,2025-12-07
other_orgs_people_terror_events,ok,3558,0.325,0.000,0.310,3561,2305,1256,48,30,2020-01-12,2025-12-21
