publisher,publisher_group,total_spend_ils_all_sources,total_spend_ils_google,total_spend_ils_meta,google_share_of_publisher_spend_pct,meta_share_of_publisher_spend_pct,appears_in_google,appears_in_meta,rows_meta,rows_google,active_week_rows_meta,active_week_rows_google,average_weekly_row_spend_ils_meta,average_weekly_row_spend_ils_google,median_weekly_row_spend_ils_meta,median_weekly_row_spend_ils_google,sd_weekly_row_spend_ils_meta,sd_weekly_row_spend_ils_google,min_weekly_row_spend_ils_meta,min_weekly_row_spend_ils_google,p25_weekly_row_spend_ils_meta,p25_weekly_row_spend_ils_google,p75_weekly_row_spend_ils_meta,p75_weekly_row_spend_ils_google,max_weekly_row_spend_ils_meta,max_weekly_row_spend_ils_google,first_week_meta,first_week_google,last_week_meta,last_week_google
המכון למחקרי ביטחון לאומי,other_org_or_person,664405.758,0,664405.758,0,100,FALSE,TRUE,304,0,304,0,2185.545,,1725.375,,1812.923,,9.967,,1170.208,,2522.552,,15782.629,,2020-01-05,,2025-12-07,
רז קינסטליך - ראש עיריית ראשון לציון,other_org_or_person,658301.179,0,658301.179,0,100,FALSE,TRUE,259,0,259,0,2541.703,,2249.5,,1602.625,,37.375,,1393.571,,3288.021,,9825.958,,2020-01-05,,2025-12-28,
הקונגרס הישראלי,other_org_or_person,648771.5,0,648771.5,0,100,FALSE,TRUE,183,0,183,0,3545.199,,2821.152,,2769.977,,349.5,,1509.173,,4748.754,,14083.697,,2020-01-05,,2023-07-30,
ישראל ביתנו,political_party,635248.317,245250,389998.317,38.607,61.393,TRUE,TRUE,264,147,264,147,1477.266,1668.367,797.3,750,1773.651,3453.354,31.188,250,345.368,250,1806.321,1250,10548.543,30500,2020-01-05,2020-06-07,2025-12-28,2025-12-07
מפלגת הליכוד,political_party,633784.5,297250,336534.5,46.901,53.099,TRUE,TRUE,22,15,22,12,15297.023,19816.667,4561.394,10750,22932.216,24404.6,49.5,500,2085.858,3125,13145.375,23250,73987.125,72750,2020-01-26,2021-02-21,2023-04-23,2022-10-30
Haaretz הארץ,other_org_or_person,609199.5,0,609199.5,0,100,FALSE,TRUE,107,0,107,0,5693.453,,2638.75,,6501.187,,49.5,,1515.203,,8533.564,,35812.1,,2021-05-30,,2025-11-30,
שומרים,other_org_or_person,595124.768,0,595124.768,0,100,FALSE,TRUE,294,0,294,0,2024.234,,1921.757,,743.684,,49.5,,1593.451,,2417.816,,6084.801,,2020-03-22,,2025-12-28,
האגודה לזכויות האזרח בישראל,other_org_or_person,590041.325,0,590041.325,0,100,FALSE,TRUE,304,0,304,0,1940.925,,1169.793,,3331.405,,49.5,,600.097,,2136.146,,39517.507,,2020-01-05,,2025-12-28,
דרכנו,other_org_or_person,578635.5,0,578635.5,0,100,FALSE,TRUE,239,0,239,0,2421.069,,1174.057,,3687.655,,28.429,,594.042,,2712.537,,29718.667,,2020-01-26,,2025-12-28,
מרצ,political_party,574250,574250,0,100,0,TRUE,FALSE,0,19,0,19,,30223.684,,31750,,25004.846,,250,,5500,,49375,,78250,,2021-01-31,,2023-04-16
צו חירום,other_org_or_person,552179.5,0,552179.5,0,100,FALSE,TRUE,30,0,30,0,18405.983,,2843.457,,23788.939,,49.5,,1070.781,,35836.235,,73799.141,,2023-01-15,,2023-10-22,
המכון הישראלי לדמוקרטיה,other_org_or_person,533670,0,533670,0,100,FALSE,TRUE,307,0,307,0,1738.339,,1345.718,,1837.783,,37.375,,827.652,,2091.654,,24784.542,,2020-01-05,,2025-12-28,
Tzalash Party,political_party,511750,511750,0,100,0,TRUE,FALSE,0,18,0,18,,28430.556,,17000,,33532.338,,750,,10562.5,,26250,,120000,,2021-01-24,,2022-06-26
קרן ברל כצנלסון,other_org_or_person,499895,250,499645,0.05,99.95,TRUE,TRUE,306,1,306,1,1632.827,250,1117,250,1570.601,,14.143,250,594,250,2079.465,250,11013.865,250,2020-01-12,2024-12-08,2025-12-28,2024-12-08
Israel siton,other_org_or_person,439863.5,0,439863.5,0,100,FALSE,TRUE,120,0,120,0,3665.529,,1246.727,,4657.55,,148.5,,1099.99,,3416.174,,20547.847,,2020-12-06,,2023-03-26,
מפלגת העבודה,political_party,368544,92250,276294,25.031,74.969,TRUE,TRUE,90,5,90,5,3069.933,18450,582.167,15000,9204.402,15588.858,49.5,2500,347.5,11250,1743.958,19500,79191,44000,2020-04-26,2021-03-07,2024-08-11,2022-10-30
הביתה,other_org_or_person,361195.5,0,361195.5,0,100,FALSE,TRUE,5,0,5,0,72239.1,,82767.639,,52839.265,,11220.144,,28175.793,,98044.933,,140986.991,,2023-03-12,,2023-04-09,
"עתיד כחול לבן (ע""ר)",other_org_or_person,332500,332500,0,100,0,TRUE,FALSE,0,9,0,9,,36944.444,,44500,,30349.727,,250,,10000,,56250,,82250,,2024-10-13,,2025-06-29
מפלגת נעם,political_party,321791.5,0,321791.5,0,100,FALSE,TRUE,139,0,139,0,2315.047,,1112.83,,3388.433,,8.25,,349.882,,3057.079,,22388.127,,2020-01-26,,2025-03-02,
תל״ם,political_party,257750,257750,0,100,0,TRUE,FALSE,0,14,0,14,,18410.714,,250,,37708.855,,250,,250,,625,,111000,,2021-01-10,,2021-07-18
עיריית אשקלון,other_org_or_person,178368.5,0,178368.5,0,100,FALSE,TRUE,225,0,225,0,792.749,,536.375,,806.374,,36.086,,249.5,,997.667,,5231.093,,2020-03-15,,2025-12-28,
חותם - יהדות על סדר היום,other_org_or_person,178000,178000,0,100,0,TRUE,FALSE,0,141,0,141,,1262.411,,750,,1144.992,,250,,250,,1750,,4500,,2021-10-24,,2025-11-16
עוגנים בראשות ארנון בר דוד,other_org_or_person,156500,156500,0,100,0,TRUE,FALSE,0,10,0,10,,15650,,13375,,12782.475,,500,,5625,,28937.5,,32250,,2022-02-20,,2022-05-22
הברית הישראלית,other_org_or_person,116908.5,0,116908.5,0,100,FALSE,TRUE,19,0,19,0,6153.079,,3026.75,,15260.023,,8.25,,497.5,,4657.75,,68324,,2020-03-15,,2022-06-26,
חזית יהודית לאומית,political_party,97500,97500,0,100,0,TRUE,FALSE,0,21,0,21,,4642.857,,2250,,7548.415,,250,,1000,,5250,,32500,,2022-09-04,,2025-04-27
