entity_group,total_spend_ils,average_weekly_row_spend_ils,median_weekly_row_spend_ils,sd_weekly_row_spend_ils,min_weekly_row_spend_ils,p25_weekly_row_spend_ils,p75_weekly_row_spend_ils,max_weekly_row_spend_ils,rows,week_rows,entities,first_week,last_week
other_org_or_person,45203460.234,5707.508,2132.652,13843.636,0.973,898.917,4897.233,323814.063,7920,313,50,2020-01-05,2025-12-28
political_party,12739451.317,7820.412,1249.500,25143.816,8.250,499.800,3977.114,415000.000,1629,310,18,2020-01-05,2025-12-28
