model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
all_entities_all_events,ok,9868,9867,0.312,0.001,0.303
political_parties_all_events,ok,1523,1523,0.470,0.002,0.438
other_orgs_people_all_events,ok,8345,8344,0.326,0.000,0.316
all_entities_political_events,ok,5427,5424,0.348,0.001,0.336
all_entities_terror_events,ok,4441,4440,0.300,0.001,0.284
political_parties_political_events,ok,761,759,0.462,0.004,0.420
political_parties_terror_events,ok,762,762,0.500,0.011,0.465
other_orgs_people_political_events,ok,4666,4665,0.365,0.001,0.353
other_orgs_people_terror_events,ok,3679,3678,0.306,0.000,0.291
