model_name,term,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,post_event,0.012,0.024,0.505,0.615,-0.035,0.059,+1.2%,
political_parties_all_events,post_event,0.035,0.043,0.811,0.429,-0.056,0.125,+3.5%,
other_orgs_people_all_events,post_event,0.013,0.027,0.484,0.630,-0.042,0.068,+1.3%,
all_entities_political_events,post_event,0.034,0.034,0.999,0.322,-0.034,0.102,+3.5%,
all_entities_terror_events,post_event,0.006,0.025,0.231,0.818,-0.045,0.056,+0.6%,
political_parties_political_events,post_event,0.154,0.090,1.720,0.111,-0.041,0.349,+16.7%,
political_parties_terror_events,post_event,-0.012,0.058,-0.203,0.842,-0.135,0.112,-1.2%,
other_orgs_people_political_events,post_event,0.011,0.038,0.291,0.773,-0.065,0.087,+1.1%,
other_orgs_people_terror_events,post_event,0.018,0.029,0.615,0.541,-0.041,0.077,+1.8%,
