model_name,period,rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
oct7_event,post_event,114,34,1,5462.201,1733.603,7.386
oct7_event,pre_event,32,31,1,3198.940,1676.601,7.316
