entity_group,total_spend_ils,average_weekly_row_spend_ils,median_weekly_row_spend_ils,rows,entities
other_org_or_person,48622802.250193186,5700.879616624804,2070.173436,8529,50
political_party,16209300.999904243,9614.05753256481,1335.1162279999999,1686,18
