calendar_year,total_spend_ils,average_weekly_row_spend_ils,median_weekly_row_spend_ils,rows,entities,yoy_total_change_ils,yoy_total_change_pct
2018,8325.1836741,308.3401360777778,214.2714286,27,3,NA,NA
2019,7068933.120739548,9723.42932701451,1528,727,35,7060607.937065448,84810.23618771677
2020,6942530.526335884,5255.511374970388,1986.887796,1321,45,-126402.59440366365,-1.788142457209152
2021,12521967.006682329,8387.117887931916,2020.720238,1493,50,5579436.480346445,80.36603453425721
2022,9893321.038724784,5920.599065664116,1798.157731,1671,52,-2628645.967957545,-20.992276744977623
2023,8665796.153279237,5313.179738368629,1976.279363,1631,49,-1227524.8854455464,-12.40761197014355
2024,11049070.629102865,6372.013050232329,2250,1734,46,2383274.475823628,27.502083290082567
2025,8681777.484241283,5399.115350896316,1997.6249010000001,1608,44,-2367293.1448615827,-21.42526936723723
2026,382.1073171,127.36910569999999,137.375,3,3,-8681395.376924183,-99.99559874325513
