term,estimate,std.error,statistic,p.value,conf.low,conf.high,rel_week
relative_week::-2,0.08725631120508992,0.15292965353938123,0.5705650224507987,0.5722796088486561,-0.22425119929307685,0.3987638217032567,-2
relative_week::(-1) (baseline),0,,,,0,0,-1
relative_week::0,-0.37529843547895453,0.3256334363898854,-1.1525181186541438,0.25764552499518373,-1.038592039807006,0.2879951688490971,0
relative_week::1,0.02119166876276914,0.3424750527000432,0.061877992559445975,0.9510448727175456,-0.6764071853852044,0.7187905229107426,1
relative_week::2,-0.07346851343512595,0.353027035753631,-0.20811016152994538,0.8364618610381045,-0.7925610537045783,0.6456240268343264,2
