model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events__without_gamma_t (paper baseline),-2,0.054,0.044,1.228,0.224,-0.034,0.142,+5.6%,
all_entities_all_events__without_gamma_t (paper baseline),-1,-0.013,0.035,-0.368,0.714,-0.082,0.057,-1.3%,
all_entities_all_events__without_gamma_t (paper baseline),1,-0.045,0.045,-1.004,0.319,-0.134,0.044,-4.4%,
all_entities_all_events__without_gamma_t (paper baseline),2,-0.069,0.057,-1.216,0.229,-0.184,0.045,-6.7%,
all_entities_all_events__with_gamma_t,-2,0.000,0.000,0.000,1.000,-0.000,0.000,+0.0%,
all_entities_all_events__with_gamma_t,-1,0.000,0.000,0.000,1.000,-0.000,0.000,+0.0%,
all_entities_all_events__with_gamma_t,1,-0.000,0.000,-0.000,1.000,-0.000,0.000,-0.0%,
