calendar_year,total_spend_ils,average_weekly_row_spend_ils,median_weekly_row_spend_ils,sd_weekly_row_spend_ils,min_weekly_row_spend_ils,p25_weekly_row_spend_ils,p75_weekly_row_spend_ils,max_weekly_row_spend_ils,rows,week_rows,entities,yoy_total_change_ils,yoy_total_change_pct
2020,6942530.526,5255.511,1986.888,11735.299,8.250,802.804,4583.641,150972.190,1321,52,45,,
2021,12521967.007,8387.118,2020.720,24331.351,21.357,908.700,5146.532,350750.000,1493,52,50,5579436.480,80.366
2022,9893321.039,5920.599,1798.158,17438.029,0.973,706.739,4719.518,415000.000,1671,52,52,-2628645.968,-20.992
2023,8665796.153,5313.180,1976.279,14039.679,18.688,897.625,4579.144,200425.854,1631,53,49,-1227524.885,-12.408
2024,11049070.629,6372.013,2250.000,16196.979,28.429,877.647,5052.630,323814.063,1734,52,46,2383274.476,27.502
2025,8681777.484,5399.115,1997.625,10763.705,9.967,733.815,5042.187,152169.650,1608,52,44,-2367293.145,-21.425
