entity_group,event_scope,correlation_weekly_spend_vs_event_count,p.value,weeks_in_sample,weeks_with_any_event,average_weekly_spend_ils,average_weekly_event_count
all_entities,all_events,-0.024,0.671,313,12,185401.779,0.038
all_entities,political,-0.032,0.578,313,7,185401.779,0.022
all_entities,terror,0.000,0.996,313,5,185401.779,0.016
other_org_or_person,all_events,0.012,0.826,313,12,144700.657,0.038
other_org_or_person,political,-0.023,0.691,313,7,144700.657,0.022
other_org_or_person,terror,0.046,0.420,313,5,144700.657,0.016
political_party,all_events,-0.045,0.435,310,11,41095.004,0.035
political_party,political,-0.032,0.571,310,7,41095.004,0.023
political_party,terror,-0.030,0.593,310,4,41095.004,0.013
