model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
all_entities_all_events,ok,10040,10038,0.349,0.001,0.34
political_parties_all_events,ok,1412,1411,0.436,0.003,0.401
other_orgs_people_all_events,ok,8628,8627,0.364,0.001,0.356
all_entities_political_events,ok,5325,5323,0.331,0.005,0.318
all_entities_terror_events,ok,4715,4714,0.409,0,0.397
political_parties_political_events,ok,755,755,0.453,0.018,0.412
political_parties_terror_events,ok,657,656,0.482,0.001,0.444
other_orgs_people_political_events,ok,4570,4568,0.344,0.003,0.332
other_orgs_people_terror_events,ok,4058,4058,0.417,0,0.405
