model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
oct7_all_entities,ok,146,144,0.671,0.007,0.569
oct7_political_parties,ok,15,13,0.581,0.365,0.281
oct7_other_orgs_people,ok,131,131,0.660,0.002,0.559
