model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
oct7_all_entities,ok,146,144,0.672,0.01,0.57
oct7_political_parties,ok,15,13,0.607,0.404,0.326
oct7_other_orgs_people,ok,131,131,0.662,0.005,0.56
