model_name,term,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events,post_event,-0.086,0.022,-3.87,0,-0.131,-0.042
political_parties_all_events,post_event,-0.14,0.077,-1.829,0.087,-0.304,0.023
other_orgs_people_all_events,post_event,-0.059,0.022,-2.676,0.01,-0.104,-0.015
all_entities_political_events,post_event,-0.176,0.036,-4.848,0,-0.249,-0.103
all_entities_terror_events,post_event,0.016,0.031,0.532,0.597,-0.045,0.078
political_parties_political_events,post_event,-0.336,0.165,-2.042,0.059,-0.687,0.015
political_parties_terror_events,post_event,0.05,0.064,0.778,0.45,-0.088,0.187
other_orgs_people_political_events,post_event,-0.125,0.033,-3.778,0,-0.191,-0.058
other_orgs_people_terror_events,post_event,0.016,0.033,0.501,0.619,-0.05,0.083
