model_name,term,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events,post_event,-0.087,0.022,-3.876,<0.001,-0.131,-0.042
political_parties_all_events,post_event,-0.140,0.077,-1.829,0.087,-0.304,0.023
other_orgs_people_all_events,post_event,-0.059,0.022,-2.683,0.010,-0.104,-0.015
all_entities_political_events,post_event,-0.176,0.036,-4.848,<0.001,-0.249,-0.104
all_entities_terror_events,post_event,0.016,0.031,0.528,0.599,-0.045,0.078
political_parties_political_events,post_event,-0.337,0.165,-2.041,0.059,-0.688,0.015
political_parties_terror_events,post_event,0.050,0.064,0.780,0.449,-0.088,0.188
other_orgs_people_political_events,post_event,-0.125,0.033,-3.778,<0.001,-0.192,-0.059
other_orgs_people_terror_events,post_event,0.016,0.033,0.497,0.621,-0.050,0.083
