source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
meta,המכון למחקרי ביטחון לאומי,2023-09-24,195,1447.1,206.73,ILS,-2,7.277316832743947
meta,המכון למחקרי ביטחון לאומי,2023-10-01,196,499,71.29,ILS,-1,6.212606095751519
meta,המכון למחקרי ביטחון לאומי,2023-10-08,197,4366.25,623.75,ILS,0,8.381659796121042
meta,המכון למחקרי ביטחון לאומי,2023-10-15,198,5285.8875,755.13,ILS,1,8.572795812304385
meta,המכון למחקרי ביטחון לאומי,2023-10-22,199,4527.9875,646.86,ILS,2,8.418032859278501
meta,הציונות הדתית,2023-09-24,195,2575.1346153846152,367.88,ILS,-2,7.853657089550667
meta,הציונות הדתית,2023-10-01,196,489.5192307692307,69.93,ILS,-1,6.193423747755009
meta,הקרן החדשה לישראל,2023-09-24,195,1782.09266140165,254.58,ILS,-2,7.4855436052207684
meta,הקרן החדשה לישראל,2023-10-01,196,2102.386332287726,300.34,ILS,-1,7.650828327264463
meta,הקרן החדשה לישראל,2023-10-08,197,707.4178061256315,101.06,ILS,0,6.561621447681098
meta,הקרן החדשה לישראל,2023-10-15,198,5155.712022216914,736.53,ILS,1,8.547860509554503
meta,הקרן החדשה לישראל,2023-10-22,199,26281.86912899902,3754.55,ILS,2,10.17663459369948
meta,התנועה לאיכות השלטון,2023-09-24,195,749.8636363636364,107.12,ILS,-2,6.619891371817609
meta,התנועה לאיכות השלטון,2023-10-01,196,1749.6818181818182,249.95,ILS,-1,7.467189232204812
meta,התנועה לאיכות השלטון,2023-10-08,197,249.95454545454547,35.71,ILS,0,5.521279083149499
meta,התנועה לאיכות השלטון,2023-10-15,198,5993.388888888889,856.2,ILS,1,8.698412288873309
meta,התנועה לאיכות השלטון,2023-10-22,199,20803.61111111111,2971.94,ILS,2,9.942881861731856
meta,חופשי בארצנו - מטה המאבק,2023-09-24,195,10672.708333333336,1524.67,ILS,-2,9.275445139016279
meta,חופשי בארצנו - מטה המאבק,2023-10-01,196,18278.808333333334,2611.26,ILS,-1,9.813497653240608
meta,חופשי בארצנו - מטה המאבק,2023-10-08,197,10107.116666666669,1443.87,ILS,0,9.22099507516295
meta,חופשי בארצנו - מטה המאבק,2023-10-15,198,12156.875,1736.7,ILS,1,9.405650132360957
meta,חופשי בארצנו - מטה המאבק,2023-10-22,199,10489.5,1498.5,ILS,2,9.258130035812032
meta,ישראל ביתנו,2023-09-24,195,842.5,120.36,ILS,-2,6.736373662226517
meta,ישראל ביתנו,2023-10-01,196,1317.875,188.27,ILS,-1,7.183775869897114
meta,ישראל ביתנו,2023-10-08,197,119.625,17.09,ILS,0,4.784361849773118
meta,ישראל ביתנו,2023-10-15,198,347.5,49.64,ILS,1,5.850764665004847
meta,לובי 99,2023-09-24,195,3048.383264477785,435.48,ILS,-2,8.022366651840462
meta,לובי 99,2023-10-01,196,3048.383264477785,435.48,ILS,-1,8.022366651840462
