model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
all_entities_all_events,ok,10040,10038,0.347,0.001,0.338
political_parties_all_events,ok,1412,1411,0.436,0.004,0.400
other_orgs_people_all_events,ok,8628,8627,0.362,0.001,0.353
all_entities_political_events,ok,5325,5323,0.329,0.006,0.316
all_entities_terror_events,ok,4715,4714,0.407,0.001,0.395
political_parties_political_events,ok,755,755,0.454,0.021,0.411
political_parties_terror_events,ok,657,656,0.483,0.005,0.443
other_orgs_people_political_events,ok,4570,4568,0.342,0.003,0.329
other_orgs_people_terror_events,ok,4058,4058,0.415,0.001,0.403
