model_name,term,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events__without_gamma_t (paper baseline),post_event,-0.087,0.022,-3.876,<0.001,-0.131,-0.042,-8.3%,***
all_entities_all_events__with_gamma_t,post_event,0.000,0.000,0.000,1.000,-0.000,0.000,+0.0%,
