Statistic,All entities x all events,All entities x political events,All entities x terror events,Other orgs/people x all events,Other orgs/people x political events,Other orgs/people x terror events,Political parties x all events,Political parties x political events,Political parties x terror events
Real-event correlation,-0.051,-0.054,-0.016,0.026,0.001,0.039,-0.103,-0.086,-0.057
Real-event p-value,0.366,0.342,0.779,0.641,0.992,0.491,0.069,0.129,0.316
Placebo correlation,-0.012,0.023,-0.041,-0.085,-0.045,-0.069,0.050,0.071,-0.008
Placebo p-value,0.836,0.687,0.470,0.134,0.427,0.225,0.377,0.214,0.895
Weeks in sample,313.000,313.000,313.000,313.000,313.000,313.000,310.000,310.000,310.000
