סוג גוף,סך הוצאה כוללת,ממוצע שבועי,חציון שבועי,סטיית תקן,מקסימום לשבוע,סך תצפיות (N),מס' גופים
גוף פרטי/אזרחי,"45,291,305 ש""ח","5,719 ש""ח","2,132 ש""ח","13,850 ש""ח","323,814 ש""ח","7,919",50
מפלגה ממוסדת,"12,463,157 ש""ח","8,098 ש""ח","1,250 ש""ח","25,746 ש""ח","415,000 ש""ח","1,539",18
