model_name,model_status,input_rows,used_rows,r2,within_r2,adjusted_r2
all_entities_all_events,ok,9769,9767,0.303,0.001,0.294
political_parties_all_events,ok,1827,1826,0.497,0.004,0.473
other_orgs_people_all_events,ok,7942,7941,0.330,0.000,0.320
all_entities_political_events,ok,5209,5208,0.337,0.000,0.325
all_entities_terror_events,ok,4560,4557,0.297,0.001,0.282
political_parties_political_events,ok,900,900,0.514,0.001,0.486
political_parties_terror_events,ok,927,926,0.509,0.005,0.482
other_orgs_people_political_events,ok,4309,4308,0.341,0.000,0.328
other_orgs_people_terror_events,ok,3633,3631,0.336,0.000,0.321
