model_name,term,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,post_event,0.056,0.023,2.407,0.019,0.010,0.103,+5.8%,**
political_parties_all_events,post_event,0.147,0.054,2.699,0.016,0.031,0.262,+15.8%,**
other_orgs_people_all_events,post_event,0.026,0.022,1.220,0.229,-0.017,0.070,+2.7%,
all_entities_political_events,post_event,0.037,0.027,1.389,0.170,-0.016,0.090,+3.8%,
all_entities_terror_events,post_event,0.074,0.041,1.825,0.073,-0.007,0.155,+7.7%,*
political_parties_political_events,post_event,0.094,0.038,2.482,0.029,0.012,0.177,+9.9%,**
political_parties_terror_events,post_event,0.167,0.092,1.814,0.089,-0.028,0.363,+18.2%,*
other_orgs_people_political_events,post_event,0.016,0.029,0.538,0.593,-0.043,0.074,+1.6%,
other_orgs_people_terror_events,post_event,0.044,0.039,1.141,0.260,-0.034,0.122,+4.5%,
