model_name,model_status,used_rows,r2,within_r2,adjusted_r2,input_rows,unique_weekly_rows,stacked_extra_rows,input_entities,input_events,first_week,last_week
all_entities_all_events,ok,1825,0.357,0.001,0.331,1827,1658,169,61,12,2020-12-13,2024-11-24
political_parties_all_events,ok,253,0.364,0.002,0.294,254,242,12,14,12,2020-12-13,2024-11-24
other_orgs_people_all_events,ok,1572,0.372,0.001,0.348,1573,1416,157,47,12,2020-12-13,2024-11-24
all_entities_political_events,ok,1039,0.353,0.000,0.314,1042,928,114,55,7,2020-12-13,2023-04-09
all_entities_terror_events,ok,784,0.519,0.002,0.487,785,730,55,45,5,2023-09-24,2024-11-24
political_parties_political_events,ok,180,0.407,0.009,0.332,180,169,11,13,7,2020-12-13,2023-04-09
political_parties_terror_events,ok,73,0.475,0.001,0.359,74,73,1,9,5,2023-09-24,2024-11-24
other_orgs_people_political_events,ok,859,0.356,0.001,0.320,862,759,103,42,7,2020-12-13,2023-04-09
other_orgs_people_terror_events,ok,711,0.536,0.003,0.508,711,657,54,36,5,2023-09-24,2024-11-24
