model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events__without_gamma_t (paper baseline),-2,0.071,0.031,2.328,0.023,0.010,0.132
all_entities_all_events__without_gamma_t (paper baseline),-1,0.056,0.026,2.113,0.039,0.003,0.108
all_entities_all_events__without_gamma_t (paper baseline),1,-0.025,0.025,-1.012,0.315,-0.075,0.024
all_entities_all_events__without_gamma_t (paper baseline),2,-0.044,0.026,-1.714,0.091,-0.096,0.007
all_entities_all_events__with_gamma_t,-2,-0.193,14.969,-0.013,0.990,-30.096,29.710
all_entities_all_events__with_gamma_t,-1,-0.097,7.484,-0.013,0.990,-15.048,14.855
all_entities_all_events__with_gamma_t,1,0.097,7.484,0.013,0.990,-14.855,15.048
all_entities_all_events__with_gamma_t,2,0.193,14.969,0.013,0.990,-29.710,30.096
